index,filename,left_sequence,right_sequence,depth_sequence,left_device_timestamp_ns,right_device_timestamp_ns,depth_device_timestamp_ns,sync_interval_ns,valid_depth_pixels,saturated_depth_pixels,total_pixels,min_depth_mm,median_depth_mm,max_depth_mm
34,00000034.png,95,95,95,14975990000,14976001000,14975990000,11400,641768,84,1024000,224,589,64788
48,00000048.png,138,138,138,19275990000,19276001000,19275990000,11863,645383,45,1024000,225,588,64788
