order,depth_band,eligible_pixels,coverage,mae_cm,rmse_cm,median_ae_mm,abs_rel,delta1,over_10cm,bias_cm
1,0.2-0.5 m,1496,1.0,23.385366121117762,26.95016096913537,241.5505200624466,0.6308553574964352,0.17045454545454544,0.8475935828877005,-5.563958769136253
2,0.5-1.0 m,296700,0.99948432760364,4.158637185954248,12.772260447685493,4.641115665435791,0.07102364015956314,0.9372969329288844,0.08479271991911021,3.2683327893491416
3,1.0-2.0 m,13804,0.9977542741234425,10.01490666011526,30.268634432990815,13.154923915863037,0.06924663243487805,0.9116198203419299,0.0982323964068386,-8.64802576910237
4,>2.0 m,3143,0.8507795100222717,735.9710008752239,1208.4738164723738,4234.808504581451,0.8613507494690162,0.0,1.0,-735.9710008752239
