order,bin_label,count,share
1,0-5 mm,157104,0.5035384615384615
2,5-10 mm,48998,0.15704487179487178
3,10-20 mm,31291,0.10029166666666667
4,20-50 mm,25069,0.08034935897435898
5,5-10 cm,21756,0.06973076923076924
6,10-20 cm,10990,0.03522435897435897
7,20-50 cm,7078,0.022685897435897436
8,>50 cm,9714,0.031134615384615386
