"relative_path","bytes","sha256"
"fast_foundationstereo/requirements.txt","286","080550f3115f281c89ca40bd6ad6e2f743c39cfb3d202e3878a26e82b539190a"
"fast_foundationstereo/scripts/build_plugin_trt.py","5184","0779e9ef8bdf17ad810fed8a7056fa53c90a6ee62401695f6c58d457c9a60d3f"
"fast_foundationstereo/scripts/make_onnx.py","4456","edb6315f082a344c3b987597590203382c502f86011d73fc5fef17ec49523233"
"fast_foundationstereo/scripts/make_plugin_onnx.py","5870","e3146d8d50c6a0abe603bd028994390d7622c6f82a19582846c61d34c1f62dfd"
"fast_foundationstereo/scripts/make_single_onnx.py","8616","f9cc3c47266ad9c5d2c6649f3aab904f3df9edfe26cd17faa3b7557b4c07e169"
"fast_foundationstereo/scripts/profile_memory.py","3391","9889fd78b32855773a66c89945d8e3d04c5f689a16cd21f8de77ac093832bcfc"
"fast_foundationstereo/scripts/profile_speed_tensorrt.py","2922","cda2213d15e20016ee74a698ed27b5390d41b2a15fd264123690e0b682d53e02"
"fast_foundationstereo/scripts/profile_speed.py","2990","8d3fe237b62ca7e8c53d3bd3043b377d73ff7fd5657bfefd787713ac58de081c"
"fast_foundationstereo/scripts/run_demo_plugin_trt.py","14036","d7fe68b115ef5c884ba8426a67d1a8ce746bf94a274a4248a49ef703df4dd812"
"fast_foundationstereo/scripts/run_demo_pseudocolor.py","11061","ff7834a8cabcaa01e5e159b4293b5a50cdbb4dd2758dc73a5dea270c9110ae28"
"fast_foundationstereo/scripts/run_demo_single_trt.py","14726","e2f3055f10b583239cf4e7a4039f4be915cc5d675c9678319d9ad03705dbd958"
"fast_foundationstereo/scripts/run_demo_tensorrt.py","6051","e27b1ad577e3386163177f347d10c38950a3171e1b789cc6117ab2dfe0f5c621"
"fast_foundationstereo/scripts/run_demo.py","6597","c8885986196c8d2e6af958a773c0470a317b62576c775ddbe26ce6cb2a6c3996"
"fast_foundationstereo/Utils.py","2620","c721680c6092943cb12e7735d934b967f26477dcf346e73e777e3d0c8b8ab6ae"
"fast_foundationstereo/weights/23-36-37/cfg.yaml","182","d45afe99b176454d5aff416edf16c8da6a99579f8f374b927f37907442a7d6bc"
"README.md","2418","a5c327af2a969d743f3040be4a14b054e0e0e4382e3a62f20887b3c532b16200"
"reproduction/depth_evaluation_report/build_notebook.py","5309","d5f86f81096e14b0f4833cd1763dd3a5ce0af44f2904750fc33be602f4b56ff7"
"reproduction/depth_evaluation_report/build_report_artifact.py","21482","df0f3f05c84aefe919a2b7478e1d75a5ac4d119f4db49e594fef71c43175613b"
"reproduction/depth_evaluation_report/chart_data.json","3922","5ea7c5b0f84c51fc262a81e026129fc54c7482d5092d43df6af96ad1c0aee831"
"reproduction/depth_evaluation_report/depth_band_metrics.csv","736","b5d5e42e9329a422c99e55ba576c7e7b2ca0a3de26b910ab44e8c84192c0c8c4"
"reproduction/depth_evaluation_report/depth_evaluation_analysis.ipynb","1638672","81b4329525908a401db33e62177435fa9d17c23263dd20f382ecf9538fd05ae9"
"reproduction/depth_evaluation_report/depth_evaluation_analysis.py","27735","02b7f804e35787412d801fd8aca4c144615478338fd701fccb0007d12fb44bfb"
"reproduction/depth_evaluation_report/error_distribution.csv","330","636f279b3f03d7fa3c31dad29ee120fd130a2fb9f9a3f46fc1d930eb5d6cff58"
"reproduction/depth_evaluation_report/metrics_summary.json","10038","acaf4fe2f94479d19b8e948d7d79e52b47b510db7d30a0b39ea4f391310abb0d"
"reproduction/depth_evaluation_report/per_frame_metrics.csv","484","367df33515eb3860712a35c46a07085a2d7d68e5dc733d65b59e4b7d6602bd4e"
"reproduction/depth_evaluation_report/pointcloud_color_comparison.jpg","492921","cdeddd71446f08f8ba78ae420e0c5e8a3fe9e7bfefd47043ba61019d2aba2249"
"reproduction/depth_evaluation_report/qualitative_depth_comparison.jpg","721790","a2c4d3107c3d95650702d25821bab46c5179f87f3f5ccb564376b91e01285d23"
"reproduction/depth_evaluation_report/qualitative_detail_comparison.jpg","482658","ad8c494c177e3978e75958b1ef11a8dcd5065668a9a7379245cc6d67fe089c7c"
"reproduction/depth_evaluation_report/report.html","5060750","c8b68e833f72aa20c6cd4614f1594aee573ee38eb00770deb3e138f17a86dfe8"
